gene_symbol,hiv_day_0,hiv_day_1,hiv_day_3,hiv_day_6,hiv_day_8,hiv_day_10,hiv_day_12,cluster
LRMJO,0,1.58118384842329,2.77730434388417,3.99580089245913,3.40809991935359,2.93095226174585,3.14567434865149,1
BQTGY,0,1.23217928762584,2.52222659744888,3.6807460625503,3.52157153768522,3.17585121950773,3.54572239843221,1
JGZAV,0,0.369970994587594,2.84968379337605,3.76906271678929,4.13985460293892,3.51697850917423,3.69313167950926,1
LUHYA,0,0.264566906562713,3.0658853280276,4.23544843575631,4.15178403369424,3.28270524383736,3.40026097664048,1
OHPIX,0,-0.171200934539449,3.05431508523864,4.48863208110588,3.90177284052812,3.39639147627698,3.63736708513614,1
CDTTZ,0,1.4187298337004,2.19360924043724,4.51002514323886,4.40358222629569,3.20248310345109,3.15719416388064,1
GZWCR,0,0.231799900126768,2.618450146632,4.54469777162068,4.34095696208233,3.44590585904148,3.04616006486293,1
OOYSD,0,0.652773021380467,1.84670437150835,4.64661806085882,4.29121470723232,3.51761342626869,3.04053187267096,1
BEXPN,0,-0.55460541410224,1.74287043858446,4.19519643823722,3.78881216056736,3.03130683347589,3.68631087644886,1
POIGB,0,-0.324190909559499,2.18227290979858,3.69826792335552,3.89036470701556,3.32339620858004,3.1720679651159,1
NLVDG,0,0.383843684871179,1.78136389553205,4.01643472010765,3.71284152127153,3.51266915958458,3.55573611986391,1
FOHOU,0,0.254201084497664,1.90140950917796,3.58976195151785,3.65984088044156,3.17068587711602,3.6210741928398,1
MQSRW,0,-0.185976585321404,1.82399529148287,3.64128162045346,3.55481933972978,3.11973490098525,3.40005860640195,1
ZEIXH,0,-0.134265682829703,1.71041354124392,4.50914013690221,4.7309308626611,3.63441722120686,3.50809813739994,1
HGNSQ,0,-0.582448772605966,2.23205800065091,4.14220698322853,4.51746031713256,3.90192399117376,3.85997805945037,1
SCEIH,0,1.0434514446844,0.765379139903036,4.72338230972779,4.74594911031913,3.98594445971146,4.37215395278935,1
SGVZM,0,0.204674741562261,1.32887334384352,3.94550297116101,3.9008361085247,4.06993616558167,4.29389584748017,1
GOJLE,0,1.04962912362934,3.24955026043646,4.50269760279707,4.21054382950535,3.78234707146629,3.90802199748452,1
VWTBF,0,0.980154506377935,2.84859981793891,4.4805216992757,4.36024505380239,3.95018207436094,4.494130947865,1
AGIWH,0,0.363204499073658,4.06413923544485,4.45201736635348,4.28774499743662,3.98092031950563,4.45751950235114,1
MOITL,0,0.429321078601649,3.84322514790668,4.55608600900722,4.37166959936277,3.98251574536697,4.09661675861473,1
HGUGR,0,0.225285492247961,3.4238199367714,4.77316797722437,4.71766105858395,4.32367519977132,4.57270785552157,1
WLJPR,0,0.510159814439028,4.06375959046634,5.24006542088724,5.0270987362944,4.55865027526015,4.32975952572149,1
UAGVI,0,1.69835186713973,4.55188406797723,6.27529440510216,5.8076896195058,5.41991186393515,5.73859355222873,1
IZNJS,0,0.805233099642773,1.48636973574496,5.54914524928952,5.97240155904846,4.97961276760565,5.00264686230883,1
FLTZT,0,-0.610327023310081,3.47143576815142,6.28739856947159,5.95054852616488,4.89838958966783,5.69019897418523,1
ELHER,0,0.167327356322961,3.06878453348077,5.44903268501202,5.90120137886548,4.11392635770698,5.76467541499888,1
NGZZL,0,0.00233351876196719,3.08292649447452,5.55539295889912,5.32267279451111,5.36065994540772,5.32770308230434,1
UCDFO,0,0.260859358225153,4.01538596399082,5.24673907246995,5.47152933847362,4.6721094534273,5.28703210376707,1
SGRBD,0,-0.152903122313155,-0.761344388141983,-0.943035335414832,-0.99420548098753,-0.911438442786633,-1.15124830976753,2
FVZSF,0,-0.00635030944732717,-1.02035876831763,-1.17629688093451,-0.93646142041867,-0.92290955116445,-1.54392923554893,2
ZJWVS,0,-0.857899721181722,-1.01968297131627,-1.44717058603936,-0.922734873977922,-0.727879878040081,-1.2612255445136,2
KEEQW,0,-0.514640491626889,-1.1121603704982,-1.14200254343983,-1.07620254823639,-1.24237216103974,-0.659852923835931,2
XENMA,0,-0.878791068375204,-0.483449078783956,-0.345320111673147,-1.15786734196929,-0.920321499994862,-0.798598280228583,2
AZUIJ,0,-0.489016153667803,-0.779587603256549,-0.842694705285453,-0.51578772171817,-0.545136277246957,-0.469621807931821,2
YYJIK,0,-0.664040612086265,-0.762402874204752,-0.732659288712302,-0.568856624339436,-0.785130555589612,-0.65425634902089,2
GGFVB,0,-0.103258894803463,-1.28375676262488,-0.170882427983482,-0.667441621257521,-0.53209463875379,-0.641324160942802,2
TEPOD,0,-0.125638750078533,-0.62743303064362,-0.367201987490657,-0.470905799460765,-0.56996353581283,-0.500613432670817,2
GZVST,0,-0.104359847820661,-1.52143732189841,-1.93789242411188,-2.12343102132348,-1.99986714786266,-3.16703102176966,2
NVUYH,0,-0.65157172051434,-0.779895095650615,-2.29413747286645,-2.29173046340305,-1.6588777094255,-3.31871384387529,2
TBDLF,0,-0.170317613819621,-0.566640762344786,-1.89154512211671,-1.73500079087681,-1.44330470707623,-1.72304862789236,2
KEQXO,0,-0.56690043546237,-1.37261768197182,-1.00428638496821,-1.96461617513315,-1.24665229043239,-2.2714299607075,2
PTZTL,0,-0.98855777200814,-1.17460831865087,-1.41144391431549,-1.41164649114349,-1.30426798877246,-2.18924772762064,2
RXJNF,0,-0.63315389786935,-0.189915502562472,0.327491507697528,0.545316500588564,0.477783715951571,0.545065797286845,4
SSGXQ,0,0.272719251617539,0.766435660555098,0.450889073490716,0.246534181549783,0.228612085395344,0.504295699189809,4
UESRQ,0,0.937975604812032,1.03789491448895,2.05114134524273,1.25071857729561,0.20992122777389,-0.326820428076551,4
UMWVM,0,0.201544799115919,0.686840457540178,1.00759289931127,0.905478822451393,0.697467422094465,0.823613461740498,4
JYSCR,0,0.418695027070336,0.761523304735211,1.22589930429128,1.05357161098542,0.677642828753121,0.843995428614528,4
XRYOU,0,0.123666847785637,0.787173024693973,1.2167133142494,1.11034588867888,0.796527512700381,0.614270547403867,4
GTNQA,0,0.140100977955087,0.997330950350882,1.06074685790995,0.972238020080383,0.987886389035017,0.535518871096855,4
ILJJZ,0,0.784900865130875,0.688493746155062,0.894436154232835,1.04789023361918,0.640566783321119,0.769630499763208,4
ZQXLM,0,0.686048055780751,0.934701911634354,1.23504237018874,0.984926489842608,0.804454348405307,0.317080641224193,4
LCNWY,0,0.6681155104973,0.842398126859992,1.03964528467983,1.0830514154804,0.570971280870384,0.376133706277175,4
PMRKK,0,0.445308235871936,0.896483852497892,1.06385257036274,1.01432176994632,0.476448813530155,0.519466330842063,4
PNKFE,0,0.585743989119996,0.581832463022255,1.60347800437728,1.4096638520626,0.599876759819924,0.771146347117093,4
ARTGG,0,0.477923694183611,1.16905839047769,1.3058457680325,1.20055555316755,0.490566395958785,0.784971572661277,4
QCFJQ,0,0.089492610901578,0.822018499188806,1.8301270701283,1.84925586189597,0.730612628621133,1.08962841585291,4
KXPRB,0,-0.193876422188674,1.03525468190192,1.58950378127057,1.47387285425921,0.738539514175158,0.64088199225425,4
WLQMG,0,0.596291966502891,0.382159016273085,1.81320274009087,1.52951995580052,0.968321076576491,1.15700781435735,4
LTTHG,0,0.439751279891708,0.734556585757478,1.86127607396215,1.42658995952398,1.31910092738254,1.24344575832,4
OAFHZ,0,0.201581264853664,-0.0692089204073703,1.98468883499797,1.86592352089979,1.34810065163279,1.09371860224944,4
YUWTR,0,0.282373551551778,0.225452408401111,1.4974670816908,1.76439550146233,1.04842581907542,0.632878817708571,4
TABUN,0,0.5239488563696,1.36662919157109,1.13546485035811,1.24158686319432,1.48292576184486,0.85370055914924,4
ZTLLM,0,0.137243895760003,1.22028696696349,1.56880303774426,1.50582223752545,0.857275509440545,1.15841007292292,4
EDOOD,0,0.341318106311477,1.52047620630488,1.44765125135178,1.53918114111267,1.21686071178172,1.11427008558972,4
QYJIU,0,0.659243436865081,1.00997559924589,1.15440470008025,1.48003603462303,1.29174520812392,1.20685934792967,4
LTASG,0,0.26177816608799,0.918873529840576,1.37128067007919,1.29237218865224,1.07904398549403,1.44025817938762,4
DEZOK,0,0.362333154869832,1.0310731562703,1.21407508404159,1.53116862047779,1.05336481313975,1.07469361163929,4
HSAQF,0,0.0915568227545974,1.0915542049995,1.31346201851492,1.53408889728812,1.24628210251797,1.15939263000268,4
